# scheme: StandardCentral
# effective_scheme: StandardCentral
# xGrid: 200
# tGrid: 0
# r: 0.05
# q: 0
# sigma: 0.001
# strike: 100
# maturity: 1
# mMatrixPolicy: None
# mesh: Uniform1dMesher
# h: 0.0069663033222105
node,S,aUsed
175,169.207553196157,5.00000000000001e-07
176,170.39041965576,5.00000000000001e-07
177,171.581555090564,5.00000000000001e-07
178,172.781017305869,5.00000000000001e-07
179,173.988864511072,5.00000000000001e-07
180,175.205155322487,5.00000000000001e-07
181,176.429948766195,5.00000000000001e-07
182,177.663304280904,5.00000000000001e-07
183,178.905281720839,5.00000000000001e-07
184,180.155941358639,5.00000000000001e-07
185,181.41534388829,5.00000000000001e-07
186,182.683550428066,5.00000000000001e-07
187,183.960622523494,5.00000000000001e-07
188,185.246622150345,5.00000000000001e-07
189,186.541611717639,5.00000000000001e-07
190,187.845654070673,5.00000000000001e-07
191,189.158812494073,5.00000000000001e-07
192,190.481150714862,5.00000000000001e-07
193,191.812732905557,5.00000000000001e-07
194,193.153623687281,5.00000000000001e-07
195,194.503888132897,5.00000000000001e-07
196,195.863591770169,5.00000000000001e-07
197,197.232800584942,5.00000000000001e-07
198,198.611581024341,5.00000000000001e-07
