# scheme: ExponentialFitting
# effective_scheme: ExponentialFitting
# xGrid: 200
# tGrid: 0
# r: 0.05
# q: 0
# sigma: 0.001
# strike: 100
# maturity: 1
# mMatrixPolicy: None
# mesh: Uniform1dMesher
node,S,lower,upper
101,101.050424120046,-4.44089209850063e-16,7.17733605434462
102,101.756829686242,-4.44089209850063e-16,7.17733605434462
103,102.468173468466,-4.44089209850063e-16,7.17733605434462
104,103.18448998793,-4.44089209850063e-16,7.17733605434462
105,103.905814007175,-4.44089209850063e-16,7.17733605434462
106,104.632180531749,-4.44089209850063e-16,7.17733605434462
107,105.363624811914,-4.44089209850063e-16,7.17733605434462
108,106.100182344353,-4.44089209850063e-16,7.17733605434462
109,106.841888873892,-4.44089209850063e-16,7.17733605434462
110,107.588780395236,-4.44089209850063e-16,7.17733605434462
111,108.340893154715,-4.44089209850063e-16,7.17733605434462
112,109.098263652045,-4.44089209850063e-16,7.17733605434462
113,109.860928642096,-4.44089209850063e-16,7.17733605434462
114,110.628925136679,-4.44089209850063e-16,7.17733605434462
115,111.402290406339,-4.44089209850063e-16,7.17733605434462
116,112.181061982167,-4.44089209850063e-16,7.17733605434462
117,112.965277657619,-4.44089209850063e-16,7.17733605434462
118,113.754975490351,-4.44089209850063e-16,7.17733605434462
119,114.550193804066,-4.44089209850063e-16,7.17733605434462
120,115.350971190373,-4.44089209850063e-16,7.17733605434462
121,116.157346510661,-4.44089209850063e-16,7.17733605434462
122,116.969358897984,-4.44089209850063e-16,7.17733605434462
123,117.787047758961,-4.44089209850063e-16,7.17733605434462
124,118.610452775688,-4.44089209850063e-16,7.17733605434462
125,119.439613907662,-4.44089209850063e-16,7.17733605434462
126,120.274571393723,-4.44089209850063e-16,7.17733605434462
127,121.115365754007,-4.44089209850063e-16,7.17733605434462
128,121.962037791909,-4.44089209850063e-16,7.17733605434462
129,122.814628596065,-4.44089209850063e-16,7.17733605434462
130,123.673179542348,-4.44089209850063e-16,7.17733605434462
131,124.537732295874,-4.44089209850063e-16,7.17733605434462
132,125.408328813023,-4.44089209850063e-16,7.17733605434462
133,126.285011343476,-4.44089209850063e-16,7.17733605434462
134,127.167822432267,-4.44089209850063e-16,7.17733605434462
135,128.056804921845,-4.44089209850063e-16,7.17733605434462
136,128.952001954157,-4.44089209850063e-16,7.17733605434462
137,129.853456972737,-4.44089209850063e-16,7.17733605434462
138,130.761213724815,-4.44089209850063e-16,7.17733605434462
139,131.675316263446,-4.44089209850063e-16,7.17733605434462
140,132.595808949638,-4.44089209850063e-16,7.17733605434462
141,133.522736454515,-4.44089209850063e-16,7.17733605434462
142,134.456143761477,-4.44089209850063e-16,7.17733605434462
143,135.396076168387,-4.44089209850063e-16,7.17733605434462
144,136.342579289768,-4.44089209850063e-16,7.17733605434462
145,137.295699059017,-4.44089209850063e-16,7.17733605434462
146,138.255481730636,-4.44089209850063e-16,7.17733605434462
147,139.221973882472,-4.44089209850063e-16,7.17733605434462
148,140.195222417981,-4.44089209850063e-16,7.17733605434462
149,141.175274568505,-4.44089209850063e-16,7.17733605434462
150,142.162177895561,-4.44089209850063e-16,7.17733605434462
151,143.155980293151,-4.44089209850063e-16,7.17733605434462
152,144.156729990087,-4.44089209850063e-16,7.17733605434462
153,145.164475552329,-4.44089209850063e-16,7.17733605434462
154,146.179265885345,-4.44089209850063e-16,7.17733605434462
155,147.201150236481,-4.44089209850063e-16,7.17733605434462
156,148.230178197354,-4.44089209850063e-16,7.17733605434462
157,149.266399706256,-4.44089209850063e-16,7.17733605434462
158,150.309865050581,-4.44089209850063e-16,7.17733605434462
159,151.360624869261,-4.44089209850063e-16,7.17733605434462
160,152.418730155228,-4.44089209850063e-16,7.17733605434462
161,153.484232257885,-4.44089209850063e-16,7.17733605434462
162,154.557182885598,-4.44089209850063e-16,7.17733605434462
163,155.637634108211,-4.44089209850063e-16,7.17733605434462
164,156.725638359565,-4.44089209850063e-16,7.17733605434462
165,157.821248440046,-4.44089209850063e-16,7.17733605434462
166,158.924517519152,-4.44089209850063e-16,7.17733605434462
167,160.035499138063,-4.44089209850063e-16,7.17733605434462
168,161.154247212251,-4.44089209850063e-16,7.17733605434462
169,162.280816034087,-4.44089209850063e-16,7.17733605434462
170,163.41526027548,-4.44089209850063e-16,7.17733605434462
171,164.557634990533,-4.44089209850063e-16,7.17733605434462
172,165.707995618206,-4.44089209850063e-16,7.17733605434462
173,166.866397985018,-4.44089209850063e-16,7.17733605434462
174,168.032898307745,-4.44089209850063e-16,7.17733605434462
175,169.207553196157,-4.44089209850063e-16,7.17733605434462
176,170.39041965576,-4.44089209850063e-16,7.17733605434462
